category,signal,signal_type,produced_by,evidence_fields,diagnostic_template,target_family,target_block_id,mutation_policy,difficulty,priority,final_check,micro_rule
JSON,invalid_json,failure_reason,strict_det,"['generation_error_type', 'raw candidate', 'extraction status']","invalid JSON: return exactly one JSON object with keys name, cron, period, code; no markdown/prose/code fences.",Output_Schema,03,JSON-only if raw candidate exists; Generation_Health if raw candidate is empty,easy,5,Use generation-state route to split empty/runtime vs malformed JSON.,"Return exactly one JSON object with required keys name, cron, period, and code. Do not emit markdown fences, prose, comments, or multiple JSON objects."
JSON,invalid_json.non_json_text,generation_state,generation_state,"['raw candidate excerpt', 'json_error_type']",non-json output: raw candidate exists but starts as prose/text.,Output_Schema,03,JSON-only rule,easy,5,Route exists.,Return bare JSON only. Do not introduce the answer with prose or explanation.
JSON,invalid_json.markdown_fence,generation_state,generation_state,"['raw candidate', 'had_markdown_fence']",markdown fence error: remove JSON/code fences and return bare JSON only.,Output_Schema,03,fence prohibition,easy,5,Route exists.,Do not wrap the final JSON in markdown code fences. Output the JSON object directly.
JSON,invalid_json.malformed_json,generation_state,generation_state,"['raw candidate excerpt', 'parse error']",malformed JSON: raw output exists but cannot be parsed.,Output_Schema,03,parseable JSON contract,easy,5,Semantic mutation prohibited.,Emit parseable JSON with double-quoted keys and values where required. Do not output trailing text after the JSON object.
JSON,truncated_json,generation_state,generation_state,"['raw candidate excerpt', 'max tokens']",truncated JSON: output ended before a complete JSON object was produced.,Output_Schema,03,shorter parseable JSON; also inspect max_new_tokens,easy,5,May require runtime token budget.,Keep the final JSON concise and complete. Close every object/string and avoid verbose names or explanations that risk truncation.
Schema,missing_required_key,failure_reason_prefix,strict_det,"['generated JSON keys', 'missing suffix']",missing required JSON key: {reason}.,Output_Schema,03,required key rule,easy,7,Normalize missing_required_key:<keys>.,"Always include required keys name, cron, period, and code. Do not rename code to script in final generated JSON unless the evaluator explicitly accepts it."
Schema,schema_missing_required_keys,generation_state,generation_state,"['parsed JSON keys', 'missing key list']",schema missing required keys: required final keys were omitted.,Output_Schema,03,required keys and aliases,easy,7,Route exists.,"Validate final JSON keys before returning. The object must contain name, cron, period, and code."
Schema,schema_invalid_field_type,generation_state,generation_state,['parsed JSON field types'],schema invalid field type: name/cron/code must be strings and period must be scalar.,Output_Schema,03,field type rule,easy,7,Route exists.,"Use string values for name, cron, and code, and use an integer/scalar value for period. Do not use arrays or objects for these fields."
Empty,missing_generated_code,failure_reason,strict_det,"['generated_json.code', 'raw_response_path', 'generation_state']",empty generated code: candidate has no behavior although GT is non-empty.,Intent_Fulfillment,06,valid JSON empty behavior routes to Intent/Skeleton unless raw generation failed,easy,12,Do not route blindly to Output_Schema.,"For a non-empty user command, the code field must contain at least one required JOILang action, condition, or schedule body. Do not return empty code unless the GT behavior is explicitly empty."
Dataset,missing_official_gt,failure_reason,strict_det,['dataset gt column'],dataset issue: official gt is missing; do not mutate prompt based on this row.,No_Mutation,00,exclude from prompt mutation,easy,0,Add No_Mutation mapping.,Do not mutate prompts from rows whose official GT is missing.
Dataset,missing_gt_code,failure_reason,strict_det,"['gt_json', 'gt_code']",dataset issue: GT code is empty; suppress semantic prompt mutation unless empty behavior is intended.,No_Mutation,00,exclude or validate empty behavior,easy,0,Connect with valid_json_empty_behavior_match.,Do not create semantic/service patches from rows with empty GT code unless the row explicitly tests empty behavior.
Generation,generation_empty_output,generation_state,generation_state,"['raw candidate presence', 'output fields', 'generation error']",generation failure: no valid raw candidate was produced.,Generation_Health,00,short-circuit semantic diagnostics; inspect worker/runtime/prompt length,easy,1,Route exists.,"Fix generation health before semantic prompt mutation. Inspect raw response, worker logs, prompt length, model config, and timeout."
Generation,generation_runtime_error,generation_state,generation_state,"['generation_error_type', 'worker error']",runtime failure: generation raised runtime error.,Generation_Health,00,runtime fix first,easy,1,Route exists.,Runtime failures are not JOILang semantic failures. Fix worker/runtime error before adding service or receiver rules.
Generation,generation_cuda_oom,generation_state,generation_state,"['OOM flag', 'error text', 'prompt tokens', 'VRAM']",CUDA OOM: reduce prompt payload/context or runtime memory before semantic rules.,Prompt_Budget,00,"prompt budget reduction, schema top-k, quantization/runtime config",easy,1,Route exists.,"For CUDA OOM, reduce prompt payload or runtime memory first. Do not add semantic rules that increase prompt length."
Generation,generation_timeout,generation_state,generation_state,"['timeout flag/error', 'latency', 'worker timeout']",generation timeout: tune timeout/retry/model loading before semantic prompt mutation.,Runtime_Health,00,retry/time budget/runtime policy,easy,1,Route exists.,"For timeouts, tune worker timeout, retry policy, or model loading. Do not infer service/receiver semantic failure from timeout rows."
Extraction,candidate_extraction_failure,generation_state,generation_state,"['raw output exists', 'extraction failure']",candidate extraction failure: inspect wrapping/fences/prose and extraction regex before semantic changes.,Parser_Extraction,03,extractor improvement or JSON-only rule,medium,8,Route exists.,Ensure the model returns exactly one bare JSON object so the extractor can identify it unambiguously.
Empty valid,valid_json_empty_behavior_match,generation_state,generation_state,"['parsed JSON empty', 'GT empty', 'DET pass']",no-op match: valid empty JSON was expected because GT behavior is empty.,No_Mutation,00,no mutation,easy,0,Route exists.,Do not mutate prompts for rows where empty behavior is the correct GT behavior.
Empty valid,valid_json_empty_behavior_failure,generation_state,generation_state,"['parsed JSON empty', 'GT non-empty']",valid JSON but empty behavior: command requires non-empty code.,Intent_Fulfillment,06,minimum behavior generation,easy,12,Route exists.,"If the command requests any action, condition, schedule, or notification, generate non-empty code that implements it."
Cloud semantic,semantic_intent,cloud_dimension,cloud_auxiliary,"['ls_semantic_intent', 'Lang reasoning']",cloud semantic-intent low score: use only as auxiliary explanation; strict DET remains primary.,Skeleton,06,priority boost only when aligned with strict DET,medium,95,Cloud is not official metric.,Use cloud semantic feedback only as auxiliary reasoning when it agrees with strict DET component failures.
Device/service cloud,device_service,cloud_dimension,cloud_auxiliary,"['ls_device_service', 'Lang reasoning']",cloud device-service low score: selected receiver/service does not align with command target.,Service_Mapping,02,combine with strict service/receiver diagnostics only,medium,80,Cloud-only patch is overclaim.,Use device-service cloud feedback only when strict DET also shows service or receiver mismatch.
Cloud semantic,gpt_semantic,cloud_dimension,cloud_auxiliary,"['overall_gpt', 'GPT reasoning']",GPT semantic mismatch: auxiliary holistic judgment says output changes user intent.,Skeleton,06,strict DET first,medium,95,"Advisor prompt must say cloud auxiliary, not official.",Do not use GPT holistic score as the official metric. Use it only to explain strict DET-backed failures.
Minimality,extraneous,failure_reason,local_report,['generated-only services/actions/receivers'],extraneous action: remove generated actions not implied by command or GT.,Minimality,06,remove unnecessary read/action/wrapper/state,medium,70,Mapping to Minimality.,"Do not add services, actions, reads, variables, or wrapper logic that are not implied by the current command."
Collapse,output_collapse,postprocess,row_advisor_mapping,"['generated_code grouping', 'row_no', 'command diversity']",output collapse: same generated code reused across unrelated rows.,Skeleton,06,row independence and command-specific receiver/service selection,medium,3,Not native DET reason; generated by postprocess.,"Solve each row independently from the current command. Never reuse a previous row's JSON name, receiver, service, enum, or code skeleton."
