failure_type,affected_block_family,suggested_mutation_type,prompt_block_id,failure_count,original_failure_reasons,rule,priority,generation,model_key
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,24,arg_type|enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,6,qwen25_coder_14b
schema_violation,Service_Mapping,add_schema_grounding_rule,02,23,gt_service_coverage|service_match,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",1,6,qwen25_coder_14b
semantic_error,Skeleton,strengthen_skeleton_rule,06,23,semantic,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",3,6,qwen25_coder_14b
extraneous_action,Minimality,strengthen_no_unrelated_action_rule,03,14,extraneous,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",2,6,qwen25_coder_14b
owner_device_mismatch,Owner_Device_Rule,strengthen_owner_device_rule,02,14,gt_receiver_coverage,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",2,6,qwen25_coder_14b
unknown_service,Service_Mapping,add_canonical_service_name_rule,02,8,unknown_service:airconditioner_temperature|unknown_service:airconditionersetairconditionermode|unknown_service:airconditionersettargettemperature,Use only canonical service/value names from service_list_snippet; never invent helper methods.,1,6,qwen25_coder_14b
dataflow_error,Dataflow,add_sensor_to_action_flow_rule,06,7,dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",1,6,qwen25_coder_14b
temporal_error,Temporal_Rule,strengthen_temporal_rule,06,4,numeric_grounding,Convert elapsed time and units exactly according to the service descriptor before writing numeric literals.,2,6,qwen25_coder_14b
precondition,DET_Helper,add_targeted_repair_hint,06,2,precondition,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,6,qwen25_coder_14b
semantic_error,DET_Helper,add_targeted_repair_hint,06,51,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,7,qwen25_coder_14b
semantic_error,Skeleton,strengthen_skeleton_rule,06,24,semantic,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",3,7,qwen25_coder_14b
schema_violation,Service_Mapping,add_schema_grounding_rule,02,18,gt_service_coverage|service_match,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",1,7,qwen25_coder_14b
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,15,arg_type|enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,7,qwen25_coder_14b
extraneous_action,Minimality,strengthen_no_unrelated_action_rule,03,15,extraneous,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",2,7,qwen25_coder_14b
owner_device_mismatch,Owner_Device_Rule,strengthen_owner_device_rule,02,11,gt_receiver_coverage,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",2,7,qwen25_coder_14b
unknown_service,Service_Mapping,add_canonical_service_name_rule,02,7,unknown_service:airconditioner_temperature|unknown_service:airconditionersetairconditionermode,Use only canonical service/value names from service_list_snippet; never invent helper methods.,1,7,qwen25_coder_14b
dataflow_error,Dataflow,add_sensor_to_action_flow_rule,06,6,dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",1,7,qwen25_coder_14b
temporal_error,Temporal_Rule,strengthen_temporal_rule,06,3,numeric_grounding,Convert elapsed time and units exactly according to the service descriptor before writing numeric literals.,2,7,qwen25_coder_14b
precondition,DET_Helper,add_targeted_repair_hint,06,1,precondition,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,7,qwen25_coder_14b
semantic_error,DET_Helper,add_targeted_repair_hint,06,51,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,8,qwen25_coder_14b
semantic_error,Skeleton,strengthen_skeleton_rule,06,24,semantic,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",3,8,qwen25_coder_14b
schema_violation,Service_Mapping,add_schema_grounding_rule,02,18,gt_service_coverage|service_match,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",1,8,qwen25_coder_14b
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,15,arg_type|enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,8,qwen25_coder_14b
extraneous_action,Minimality,strengthen_no_unrelated_action_rule,03,15,extraneous,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",2,8,qwen25_coder_14b
owner_device_mismatch,Owner_Device_Rule,strengthen_owner_device_rule,02,11,gt_receiver_coverage,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",2,8,qwen25_coder_14b
unknown_service,Service_Mapping,add_canonical_service_name_rule,02,7,unknown_service:airconditioner_temperature|unknown_service:airconditionersetairconditionermode,Use only canonical service/value names from service_list_snippet; never invent helper methods.,1,8,qwen25_coder_14b
dataflow_error,Dataflow,add_sensor_to_action_flow_rule,06,6,dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",1,8,qwen25_coder_14b
temporal_error,Temporal_Rule,strengthen_temporal_rule,06,3,numeric_grounding,Convert elapsed time and units exactly according to the service descriptor before writing numeric literals.,2,8,qwen25_coder_14b
precondition,DET_Helper,add_targeted_repair_hint,06,1,precondition,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,8,qwen25_coder_14b
semantic_error,DET_Helper,add_targeted_repair_hint,06,50,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,9,qwen25_coder_14b
semantic_error,Skeleton,strengthen_skeleton_rule,06,23,semantic,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",3,9,qwen25_coder_14b
schema_violation,Service_Mapping,add_schema_grounding_rule,02,18,gt_service_coverage|service_match,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",1,9,qwen25_coder_14b
extraneous_action,Minimality,strengthen_no_unrelated_action_rule,03,16,extraneous,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",2,9,qwen25_coder_14b
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,14,arg_type|enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,9,qwen25_coder_14b
owner_device_mismatch,Owner_Device_Rule,strengthen_owner_device_rule,02,11,gt_receiver_coverage,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",2,9,qwen25_coder_14b
dataflow_error,Dataflow,add_sensor_to_action_flow_rule,06,7,dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",1,9,qwen25_coder_14b
unknown_service,Service_Mapping,add_canonical_service_name_rule,02,6,unknown_service:airconditioner_temperature|unknown_service:airconditionersetairconditionermode,Use only canonical service/value names from service_list_snippet; never invent helper methods.,1,9,qwen25_coder_14b
temporal_error,Temporal_Rule,strengthen_temporal_rule,06,5,numeric_grounding,Convert elapsed time and units exactly according to the service descriptor before writing numeric literals.,2,9,qwen25_coder_14b
precondition,DET_Helper,add_targeted_repair_hint,06,1,precondition,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,9,qwen25_coder_14b
semantic_error,DET_Helper,add_targeted_repair_hint,06,57,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,10,qwen25_coder_14b
semantic_error,Skeleton,strengthen_skeleton_rule,06,28,semantic,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",3,10,qwen25_coder_14b
schema_violation,Service_Mapping,add_schema_grounding_rule,02,25,gt_service_coverage|service_match,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",1,10,qwen25_coder_14b
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,24,arg_type|enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,10,qwen25_coder_14b
extraneous_action,Minimality,strengthen_no_unrelated_action_rule,03,16,extraneous,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",2,10,qwen25_coder_14b
owner_device_mismatch,Owner_Device_Rule,strengthen_owner_device_rule,02,15,gt_receiver_coverage,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",2,10,qwen25_coder_14b
dataflow_error,Dataflow,add_sensor_to_action_flow_rule,06,8,dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",1,10,qwen25_coder_14b
temporal_error,Temporal_Rule,strengthen_temporal_rule,06,7,numeric_grounding,Convert elapsed time and units exactly according to the service descriptor before writing numeric literals.,2,10,qwen25_coder_14b
unknown_service,Service_Mapping,add_canonical_service_name_rule,02,7,unknown_service:airconditioner_temperature|unknown_service:airconditionersetairconditionermode|unknown_service:airconditionertemperature,Use only canonical service/value names from service_list_snippet; never invent helper methods.,1,10,qwen25_coder_14b
precondition,DET_Helper,add_targeted_repair_hint,06,4,precondition,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,10,qwen25_coder_14b
