generation,model_key,category,row_evaluations,avg_det_score,det_pass_count,det_pass_rate,failure_histogram
5,qwen25_coder_7b,3,15,85.1388,9,60.0,"{""arg_type"": 5, ""dataflow"": 2, ""gt_mismatch"": 11, ""gt_receiver_coverage"": 2, ""gt_service_coverage"": 2, ""numeric_grounding"": 3, ""semantic"": 8, ""service_match"": 2, ""unknown_service"": 2}"
5,qwen25_coder_7b,4,15,66.5302,4,26.6667,"{""arg_type"": 7, ""dataflow"": 9, ""extraneous"": 3, ""gt_mismatch"": 13, ""gt_receiver_coverage"": 10, ""gt_service_coverage"": 10, ""numeric_grounding"": 2, ""precondition"": 2, ""semantic"": 3, ""service_match"": 7, ""unknown_service"": 7}"
5,qwen25_coder_7b,5,15,90.0937,12,80.0,"{""enum_grounding"": 10, ""gt_mismatch"": 12, ""numeric_grounding"": 5, ""semantic"": 3, ""service_match"": 2, ""unknown_service"": 2}"
5,qwen25_coder_7b,6,15,72.0524,4,26.6667,"{""arg_type"": 2, ""dataflow"": 4, ""enum_grounding"": 2, ""extraneous"": 7, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 11, ""gt_service_coverage"": 11, ""numeric_grounding"": 11, ""semantic"": 4, ""service_match"": 5, ""unknown_service"": 7}"
5,qwen25_coder_7b,7,15,88.5676,11,73.3333,"{""dataflow"": 2, ""enum_grounding"": 5, ""extraneous"": 1, ""gt_mismatch"": 10, ""gt_receiver_coverage"": 2, ""gt_service_coverage"": 2, ""numeric_grounding"": 7, ""semantic"": 4, ""service_match"": 1, ""unknown_service"": 1}"
5,qwen25_coder_7b,8,15,89.4522,13,86.6667,"{""enum_grounding"": 4, ""extraneous"": 4, ""gt_mismatch"": 14, ""gt_receiver_coverage"": 2, ""gt_service_coverage"": 2, ""semantic"": 13}"
6,qwen25_coder_7b,1,15,100.0,15,100.0,{}
6,qwen25_coder_7b,2,15,97.2245,15,100.0,"{""arg_type"": 5, ""gt_mismatch"": 8, ""numeric_grounding"": 5}"
6,qwen25_coder_7b,3,15,82.3174,7,46.6667,"{""arg_type"": 5, ""dataflow"": 2, ""extraneous"": 1, ""gt_mismatch"": 12, ""gt_receiver_coverage"": 2, ""gt_service_coverage"": 2, ""numeric_grounding"": 4, ""semantic"": 9}"
6,qwen25_coder_7b,4,15,73.6618,4,26.6667,"{""arg_type"": 5, ""dataflow"": 8, ""extraneous"": 1, ""gt_mismatch"": 13, ""gt_receiver_coverage"": 9, ""gt_service_coverage"": 9, ""numeric_grounding"": 2, ""semantic"": 2, ""service_match"": 5, ""unknown_service"": 5}"
6,qwen25_coder_7b,5,15,91.5162,13,86.6667,"{""enum_grounding"": 9, ""gt_mismatch"": 11, ""numeric_grounding"": 4, ""semantic"": 2, ""service_match"": 3, ""unknown_service"": 3}"
6,qwen25_coder_7b,6,15,73.6608,5,33.3333,"{""arg_type"": 1, ""dataflow"": 4, ""enum_grounding"": 2, ""extraneous"": 8, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 10, ""gt_service_coverage"": 10, ""numeric_grounding"": 10, ""semantic"": 3, ""service_match"": 3, ""unknown_service"": 4}"
6,qwen25_coder_7b,7,15,89.7329,12,80.0,"{""dataflow"": 2, ""enum_grounding"": 5, ""extraneous"": 1, ""gt_mismatch"": 10, ""gt_receiver_coverage"": 2, ""gt_service_coverage"": 2, ""numeric_grounding"": 8, ""semantic"": 3}"
6,qwen25_coder_7b,8,15,90.882,14,93.3333,"{""enum_grounding"": 4, ""extraneous"": 4, ""gt_mismatch"": 14, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""semantic"": 13}"
7,qwen25_coder_7b,1,15,97.9933,14,93.3333,"{""enum_grounding"": 1, ""gt_mismatch"": 1}"
7,qwen25_coder_7b,2,15,97.2198,15,100.0,"{""arg_type"": 5, ""gt_mismatch"": 8, ""numeric_grounding"": 5}"
7,qwen25_coder_7b,3,15,81.6081,8,53.3333,"{""arg_type"": 6, ""dataflow"": 1, ""extraneous"": 1, ""gt_mismatch"": 11, ""gt_receiver_coverage"": 2, ""gt_service_coverage"": 2, ""numeric_grounding"": 4, ""precondition"": 1, ""semantic"": 9, ""service_match"": 1}"
7,qwen25_coder_7b,4,15,72.6806,4,26.6667,"{""arg_type"": 5, ""dataflow"": 7, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 10, ""gt_service_coverage"": 10, ""numeric_grounding"": 3, ""semantic"": 3, ""service_match"": 6, ""unknown_service"": 6}"
7,qwen25_coder_7b,5,15,92.5232,14,93.3333,"{""enum_grounding"": 10, ""gt_mismatch"": 13, ""numeric_grounding"": 4, ""semantic"": 1, ""service_match"": 3, ""unknown_service"": 3}"
7,qwen25_coder_7b,6,15,79.1567,6,40.0,"{""dataflow"": 3, ""enum_grounding"": 1, ""extraneous"": 9, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 9, ""gt_service_coverage"": 9, ""numeric_grounding"": 10, ""semantic"": 1, ""service_match"": 1, ""unknown_service"": 2}"
7,qwen25_coder_7b,7,15,91.4206,13,86.6667,"{""dataflow"": 1, ""enum_grounding"": 5, ""gt_mismatch"": 10, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""numeric_grounding"": 10, ""semantic"": 2}"
7,qwen25_coder_7b,8,15,89.759,14,93.3333,"{""enum_grounding"": 4, ""extraneous"": 4, ""gt_mismatch"": 14, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""semantic"": 14}"
8,qwen25_coder_7b,1,15,100.0,15,100.0,{}
8,qwen25_coder_7b,2,15,97.215,15,100.0,"{""arg_type"": 5, ""gt_mismatch"": 8, ""numeric_grounding"": 5}"
8,qwen25_coder_7b,3,15,90.6528,11,73.3333,"{""arg_type"": 4, ""extraneous"": 2, ""gt_mismatch"": 8, ""numeric_grounding"": 4, ""semantic"": 7}"
8,qwen25_coder_7b,4,15,78.2626,6,40.0,"{""arg_type"": 2, ""dataflow"": 4, ""extraneous"": 1, ""gt_mismatch"": 13, ""gt_receiver_coverage"": 9, ""gt_service_coverage"": 9, ""numeric_grounding"": 2, ""semantic"": 2, ""service_match"": 4, ""unknown_service"": 4}"
8,qwen25_coder_7b,5,15,92.3092,14,93.3333,"{""enum_grounding"": 10, ""gt_mismatch"": 12, ""numeric_grounding"": 3, ""service_match"": 4, ""unknown_service"": 4}"
8,qwen25_coder_7b,6,15,78.9789,6,40.0,"{""dataflow"": 2, ""enum_grounding"": 2, ""extraneous"": 9, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 9, ""gt_service_coverage"": 9, ""numeric_grounding"": 9, ""semantic"": 2, ""service_match"": 2, ""unknown_service"": 4}"
8,qwen25_coder_7b,7,15,93.0158,14,93.3333,"{""dataflow"": 1, ""enum_grounding"": 5, ""gt_mismatch"": 10, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""numeric_grounding"": 7, ""semantic"": 1, ""service_match"": 2, ""unknown_service"": 2}"
8,qwen25_coder_7b,8,15,90.0131,14,93.3333,"{""enum_grounding"": 5, ""extraneous"": 5, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""semantic"": 15}"
9,qwen25_coder_7b,1,15,97.9933,14,93.3333,"{""enum_grounding"": 1, ""gt_mismatch"": 1}"
9,qwen25_coder_7b,2,15,97.2198,15,100.0,"{""arg_type"": 5, ""gt_mismatch"": 8, ""numeric_grounding"": 5}"
9,qwen25_coder_7b,3,15,87.7073,10,66.6667,"{""arg_type"": 4, ""dataflow"": 1, ""extraneous"": 1, ""gt_mismatch"": 11, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""numeric_grounding"": 4, ""semantic"": 8}"
9,qwen25_coder_7b,4,15,74.3576,4,26.6667,"{""arg_type"": 3, ""dataflow"": 7, ""extraneous"": 2, ""gt_mismatch"": 13, ""gt_receiver_coverage"": 9, ""gt_service_coverage"": 9, ""numeric_grounding"": 2, ""semantic"": 2, ""service_match"": 4, ""unknown_service"": 4}"
9,qwen25_coder_7b,5,15,91.4282,14,93.3333,"{""enum_grounding"": 10, ""gt_mismatch"": 13, ""numeric_grounding"": 4, ""semantic"": 2, ""service_match"": 5, ""unknown_service"": 5}"
9,qwen25_coder_7b,6,15,75.6415,7,46.6667,"{""arg_type"": 2, ""dataflow"": 3, ""enum_grounding"": 2, ""extraneous"": 10, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 8, ""gt_service_coverage"": 8, ""numeric_grounding"": 9, ""precondition"": 1, ""semantic"": 2, ""service_match"": 4, ""unknown_service"": 5}"
9,qwen25_coder_7b,7,15,91.6191,13,86.6667,"{""dataflow"": 1, ""enum_grounding"": 5, ""extraneous"": 1, ""gt_mismatch"": 10, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""numeric_grounding"": 7, ""semantic"": 2, ""service_match"": 1, ""unknown_service"": 1}"
9,qwen25_coder_7b,8,15,86.784,12,80.0,"{""enum_grounding"": 4, ""extraneous"": 5, ""gt_mismatch"": 14, ""gt_receiver_coverage"": 3, ""gt_service_coverage"": 3, ""semantic"": 13}"
10,qwen25_coder_7b,1,15,100.0,15,100.0,{}
10,qwen25_coder_7b,2,15,97.2245,15,100.0,"{""arg_type"": 5, ""gt_mismatch"": 8, ""numeric_grounding"": 5}"
10,qwen25_coder_7b,3,15,82.0193,7,46.6667,"{""arg_type"": 5, ""dataflow"": 3, ""gt_mismatch"": 12, ""gt_receiver_coverage"": 2, ""gt_service_coverage"": 2, ""numeric_grounding"": 3, ""semantic"": 8, ""service_match"": 1, ""unknown_service"": 1}"
10,qwen25_coder_7b,4,15,72.635,5,33.3333,"{""arg_type"": 4, ""dataflow"": 7, ""extraneous"": 2, ""gt_mismatch"": 12, ""gt_receiver_coverage"": 9, ""gt_service_coverage"": 9, ""numeric_grounding"": 2, ""precondition"": 1, ""semantic"": 3, ""service_match"": 5, ""unknown_service"": 5}"
10,qwen25_coder_7b,5,15,85.3086,11,73.3333,"{""arg_type"": 1, ""enum_grounding"": 9, ""extraneous"": 1, ""gt_mismatch"": 12, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""numeric_grounding"": 5, ""precondition"": 1, ""semantic"": 4, ""service_match"": 3, ""unknown_service"": 3}"
10,qwen25_coder_7b,6,15,75.5514,6,40.0,"{""arg_type"": 2, ""dataflow"": 4, ""enum_grounding"": 3, ""extraneous"": 9, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 9, ""gt_service_coverage"": 9, ""numeric_grounding"": 10, ""semantic"": 3, ""service_match"": 3, ""unknown_service"": 4}"
10,qwen25_coder_7b,7,15,89.1782,12,80.0,"{""dataflow"": 2, ""enum_grounding"": 5, ""gt_mismatch"": 10, ""gt_receiver_coverage"": 2, ""gt_service_coverage"": 2, ""numeric_grounding"": 9, ""semantic"": 3}"
10,qwen25_coder_7b,8,15,89.5608,14,93.3333,"{""enum_grounding"": 4, ""extraneous"": 4, ""gt_mismatch"": 14, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""semantic"": 12}"
