proposal_id,source,mutation_family,operator,target_units,target_block_id,target_block_family,replacement_text,estimated_token_delta,actual_token_delta,risk_score,affected_failure_families,expected_effect,requires_validation,accepted,rejection_reason,rollback_units,generation,parent_genome_id,child_genome_id
advisor_g002_03,advisor,advisor_guided,add_micro_rule,[],06,Dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",0,0,0.2,"[""Dataflow""]",Fix dataflow errors by ensuring sensor values are bound to variables before use in actions.,True,True,,[],2,,
advisor_g002_04,advisor,advisor_guided,add_micro_rule,[],06,Temporal_Rule,"For delayed or duration-based commands, represent elapsed time with explicit state variables and comparisons; convert elapsed time and units exactly according to the service descriptor.",0,0,0.2,"[""Temporal_Rule""]",Improve temporal grounding to fix temporal errors and numeric grounding issues.,True,True,,[],2,,
advisor_g002_05,advisor,advisor_guided,add_micro_rule,[],06,DET_Helper,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",0,0,0.2,"[""DET_Helper""]","Add targeted repair hints to fix semantic errors related to receiver coverage, service coverage, dataflow, numeric, and enum grounding.",True,True,,[],2,,
compression_g003_40eef092,cloudless,compression,compact_reasoning_skeleton,[],,,,0,0,0.35,[],compression mutation generated by phase-aware scheduler.,True,True,,[],3,gen-bdd4e724-5407-b1de-8fa2-b132d3152091,gen-eacd8d60-cf7c-3776-8272-e1069de7225b
advisor_g003_01,advisor,advisor_guided,add_micro_rule,[],02,Service_Mapping,"Include every service family implied by the command, including both sensor reads and actuator actions.",0,0,0.2,"[""Service_Mapping""]","Ensure all service families implied by the command are included, covering sensor reads and actuator actions.",True,True,,[],3,,
advisor_g003_02,advisor,advisor_guided,add_micro_rule,[],02,Service_Mapping,Use only canonical service and value names from service_list_snippet; never invent helper methods or names.,0,0,0.2,"[""Service_Mapping""]",Prevent invention of service or value names and enforce use of canonical names from the service list snippet.,True,True,,[],3,,
advisor_g003_03,advisor,advisor_guided,add_micro_rule,[],02,Enum_Grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",0,0,0.2,"[""Enum_Grounding""]",Ensure enum arguments are copied exactly from allowed values and numeric arguments are unquoted literals.,True,True,,[],3,,
advisor_g003_04,advisor,advisor_guided,add_micro_rule,[],02,Owner_Device_Rule,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",0,0,0.2,"[""Owner_Device_Rule""]","Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",True,True,,[],3,,
advisor_g003_05,advisor,advisor_guided,add_micro_rule,[],06,Temporal_Rule,"For delayed or duration-based commands, represent elapsed time with explicit state variables and comparisons.",0,0,0.2,"[""Temporal_Rule""]",Represent elapsed time with explicit state variables and comparisons for delayed or duration-based commands.,True,True,,[],3,,
advisor_g003_06,advisor,advisor_guided,add_micro_rule,[],06,Dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",0,0,0.2,"[""Dataflow""]",Bind sensor read values to variables and use those variables in downstream actions to ensure correct dataflow.,True,True,,[],3,,
advisor_g003_07,advisor,advisor_guided,add_micro_rule,[],06,Skeleton,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",0,0,0.2,"[""Skeleton""]","Choose the smallest JOILang skeleton matching command verb, timing, target receiver, and side effect to avoid semantic errors.",True,True,,[],3,,
advisor_g003_08,advisor,advisor_guided,add_micro_rule,[],06,DET_Helper,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",0,0,0.2,"[""DET_Helper""]","Repair receiver coverage, service coverage, dataflow, numeric, and enum grounding if code is schema-valid but not target-equivalent.",True,True,,[],3,,
accuracy_repair_g004_19859663,det_feedback,accuracy_repair,add_targeted_repair_hint,[],06,DET_Helper,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",0,0,0.2,"[""semantic_error""]",accuracy_repair mutation generated by phase-aware scheduler.,True,True,,[],4,gen-bdd4e724-5407-b1de-8fa2-b132d3152091,gen-f6d4d979-6538-7164-6c83-770691877a47
compression_g004_ffac2b3a,cloudless,compression,reduce_few_shot_count,[],,,,0,0,0.35,[],compression mutation generated by phase-aware scheduler.,True,False,population full before cloudless proposal could be added,[],4,gen-bdd4e724-5407-b1de-8fa2-b132d3152091,
