generation,model_key,category,row_evaluations,avg_det_score,det_pass_count,det_pass_rate,failure_histogram
2,llama31_8b,3,15,74.7291,4,26.6667,"{""arg_type"": 4, ""dataflow"": 4, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 11, ""gt_service_coverage"": 11, ""semantic"": 5, ""service_match"": 4, ""unknown_service"": 5}"
2,llama31_8b,4,15,73.5805,6,40.0,"{""arg_type"": 4, ""dataflow"": 9, ""gt_mismatch"": 14, ""gt_receiver_coverage"": 10, ""gt_service_coverage"": 9, ""semantic"": 5, ""service_match"": 4, ""unknown_service"": 4}"
2,llama31_8b,5,15,94.4019,15,100.0,"{""enum_grounding"": 10, ""gt_mismatch"": 15, ""numeric_grounding"": 10, ""semantic"": 2}"
2,llama31_8b,6,15,77.8046,7,46.6667,"{""dataflow"": 3, ""extraneous"": 9, ""gt_mismatch"": 14, ""gt_receiver_coverage"": 8, ""gt_service_coverage"": 8, ""numeric_grounding"": 8, ""semantic"": 6, ""service_match"": 1, ""unknown_service"": 1}"
2,llama31_8b,7,15,88.9344,14,93.3333,"{""arg_type"": 1, ""enum_grounding"": 5, ""extraneous"": 3, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""no_parseable_member_access"": 1, ""numeric_grounding"": 5, ""precondition"": 1, ""semantic"": 5, ""service_match"": 1}"
2,llama31_8b,8,15,82.0883,11,73.3333,"{""enum_grounding"": 5, ""extraneous"": 4, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 4, ""gt_service_coverage"": 4, ""semantic"": 10}"
3,llama31_8b,1,15,87.324,11,73.3333,"{""enum_grounding"": 1, ""gt_mismatch"": 5, ""gt_receiver_coverage"": 4, ""gt_service_coverage"": 4, ""numeric_grounding"": 3, ""semantic"": 4}"
3,llama31_8b,2,15,87.0886,11,73.3333,"{""arg_type"": 5, ""gt_mismatch"": 9, ""gt_receiver_coverage"": 4, ""gt_service_coverage"": 4, ""numeric_grounding"": 5}"
3,llama31_8b,3,15,69.064,1,6.6667,"{""arg_type"": 3, ""dataflow"": 5, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 14, ""gt_service_coverage"": 14, ""semantic"": 5, ""service_match"": 4, ""unknown_service"": 5}"
3,llama31_8b,4,15,68.9945,4,26.6667,"{""arg_type"": 1, ""dataflow"": 11, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 11, ""gt_service_coverage"": 10, ""numeric_grounding"": 1, ""semantic"": 9, ""service_match"": 1, ""unknown_service"": 1}"
3,llama31_8b,5,15,91.731,14,93.3333,"{""arg_type"": 1, ""enum_grounding"": 10, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""numeric_grounding"": 6, ""semantic"": 2}"
3,llama31_8b,6,15,70.0473,4,26.6667,"{""dataflow"": 6, ""extraneous"": 8, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 11, ""gt_service_coverage"": 11, ""numeric_grounding"": 10, ""semantic"": 9}"
3,llama31_8b,7,15,93.6612,15,100.0,"{""enum_grounding"": 5, ""extraneous"": 2, ""gt_mismatch"": 14, ""numeric_grounding"": 6, ""semantic"": 4}"
3,llama31_8b,8,15,85.8015,12,80.0,"{""enum_grounding"": 5, ""extraneous"": 2, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 3, ""gt_service_coverage"": 3, ""semantic"": 11}"
4,llama31_8b,1,15,100.0,15,100.0,{}
4,llama31_8b,2,15,87.0912,11,73.3333,"{""arg_type"": 5, ""gt_mismatch"": 9, ""gt_receiver_coverage"": 4, ""gt_service_coverage"": 4, ""numeric_grounding"": 5}"
4,llama31_8b,3,15,67.3232,0,0.0,"{""arg_type"": 4, ""dataflow"": 5, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 15, ""gt_service_coverage"": 15, ""semantic"": 5, ""service_match"": 4, ""unknown_service"": 4}"
4,llama31_8b,4,15,66.7615,5,33.3333,"{""arg_type"": 1, ""dataflow"": 10, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 10, ""gt_service_coverage"": 10, ""semantic"": 10, ""service_match"": 1, ""unknown_service"": 1}"
4,llama31_8b,5,15,94.1404,15,100.0,"{""enum_grounding"": 10, ""gt_mismatch"": 15, ""numeric_grounding"": 10, ""semantic"": 5}"
4,llama31_8b,6,15,71.3466,5,33.3333,"{""dataflow"": 5, ""extraneous"": 10, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 10, ""gt_service_coverage"": 10, ""numeric_grounding"": 10, ""semantic"": 10}"
4,llama31_8b,7,15,93.9252,15,100.0,"{""enum_grounding"": 5, ""gt_mismatch"": 15, ""numeric_grounding"": 5, ""semantic"": 5}"
4,llama31_8b,8,15,89.8842,14,93.3333,"{""enum_grounding"": 5, ""extraneous"": 1, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""semantic"": 10}"
5,llama31_8b,1,15,87.7464,11,73.3333,"{""enum_grounding"": 1, ""gt_mismatch"": 4, ""gt_receiver_coverage"": 4, ""gt_service_coverage"": 4, ""numeric_grounding"": 1, ""semantic"": 4}"
5,llama31_8b,2,15,89.7553,12,80.0,"{""arg_type"": 5, ""gt_mismatch"": 8, ""gt_receiver_coverage"": 3, ""gt_service_coverage"": 3, ""numeric_grounding"": 5}"
5,llama31_8b,3,15,66.3077,0,0.0,"{""arg_type"": 3, ""dataflow"": 5, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 15, ""gt_service_coverage"": 15, ""numeric_grounding"": 1, ""semantic"": 5, ""service_match"": 3, ""unknown_service"": 3}"
5,llama31_8b,4,15,68.2291,4,26.6667,"{""dataflow"": 11, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 11, ""gt_service_coverage"": 9, ""numeric_grounding"": 1, ""semantic"": 11}"
5,llama31_8b,5,15,91.7973,14,93.3333,"{""arg_type"": 2, ""enum_grounding"": 10, ""gt_mismatch"": 14, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""numeric_grounding"": 7, ""semantic"": 3}"
5,llama31_8b,6,15,67.5126,3,20.0,"{""dataflow"": 7, ""enum_grounding"": 1, ""extraneous"": 6, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 12, ""gt_service_coverage"": 12, ""numeric_grounding"": 9, ""semantic"": 9}"
5,llama31_8b,7,15,94.7232,15,100.0,"{""enum_grounding"": 5, ""gt_mismatch"": 13, ""numeric_grounding"": 4, ""semantic"": 3}"
5,llama31_8b,8,15,85.9012,12,80.0,"{""enum_grounding"": 5, ""extraneous"": 1, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 3, ""gt_service_coverage"": 3, ""semantic"": 10}"
6,llama31_8b,1,15,90.2823,12,80.0,"{""gt_mismatch"": 6, ""gt_receiver_coverage"": 3, ""gt_service_coverage"": 3, ""numeric_grounding"": 3, ""semantic"": 4}"
6,llama31_8b,2,15,86.9307,11,73.3333,"{""arg_type"": 5, ""gt_mismatch"": 10, ""gt_receiver_coverage"": 4, ""gt_service_coverage"": 4, ""numeric_grounding"": 5}"
6,llama31_8b,3,15,71.4385,2,13.3333,"{""arg_type"": 3, ""dataflow"": 4, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 13, ""gt_service_coverage"": 13, ""semantic"": 5, ""service_match"": 3, ""unknown_service"": 3}"
6,llama31_8b,4,15,73.1995,7,46.6667,"{""arg_type"": 1, ""dataflow"": 8, ""gt_mismatch"": 13, ""gt_receiver_coverage"": 9, ""gt_service_coverage"": 8, ""semantic"": 9, ""service_match"": 1, ""unknown_service"": 1}"
6,llama31_8b,5,15,94.2029,15,100.0,"{""enum_grounding"": 10, ""gt_mismatch"": 15, ""numeric_grounding"": 11, ""semantic"": 4}"
6,llama31_8b,6,15,74.4623,5,33.3333,"{""dataflow"": 3, ""extraneous"": 9, ""gt_mismatch"": 14, ""gt_receiver_coverage"": 10, ""gt_service_coverage"": 10, ""numeric_grounding"": 9, ""semantic"": 8}"
6,llama31_8b,7,15,89.5108,14,93.3333,"{""arg_type"": 1, ""enum_grounding"": 5, ""extraneous"": 1, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""no_parseable_member_access"": 1, ""numeric_grounding"": 5, ""precondition"": 1, ""semantic"": 5, ""service_match"": 1}"
6,llama31_8b,8,15,78.1986,11,73.3333,"{""enum_grounding"": 4, ""extraneous"": 4, ""gt_mismatch"": 14, ""gt_receiver_coverage"": 3, ""gt_service_coverage"": 3, ""invalid_json"": 1, ""semantic"": 10}"
7,llama31_8b,1,15,90.2388,12,80.0,"{""enum_grounding"": 1, ""gt_mismatch"": 5, ""gt_receiver_coverage"": 3, ""gt_service_coverage"": 3, ""numeric_grounding"": 3, ""semantic"": 3}"
7,llama31_8b,2,15,89.7509,12,80.0,"{""arg_type"": 5, ""gt_mismatch"": 8, ""gt_receiver_coverage"": 3, ""gt_service_coverage"": 3, ""numeric_grounding"": 5}"
7,llama31_8b,3,15,73.4472,3,20.0,"{""arg_type"": 3, ""dataflow"": 4, ""gt_mismatch"": 14, ""gt_receiver_coverage"": 12, ""gt_service_coverage"": 12, ""semantic"": 5, ""service_match"": 3, ""unknown_service"": 3}"
7,llama31_8b,4,15,72.0353,5,33.3333,"{""dataflow"": 10, ""gt_mismatch"": 13, ""gt_receiver_coverage"": 9, ""gt_service_coverage"": 7, ""semantic"": 9}"
7,llama31_8b,5,15,94.4445,15,100.0,"{""enum_grounding"": 10, ""gt_mismatch"": 15, ""numeric_grounding"": 9, ""semantic"": 3}"
7,llama31_8b,6,15,70.1789,4,26.6667,"{""dataflow"": 6, ""extraneous"": 6, ""gt_mismatch"": 14, ""gt_receiver_coverage"": 11, ""gt_service_coverage"": 11, ""numeric_grounding"": 9, ""semantic"": 9, ""service_match"": 1, ""unknown_service"": 1}"
7,llama31_8b,7,15,89.9152,14,93.3333,"{""arg_type"": 1, ""enum_grounding"": 5, ""extraneous"": 1, ""gt_mismatch"": 14, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""no_parseable_member_access"": 1, ""numeric_grounding"": 5, ""precondition"": 1, ""semantic"": 4, ""service_match"": 1}"
7,llama31_8b,8,15,86.2102,14,93.3333,"{""enum_grounding"": 4, ""extraneous"": 2, ""gt_mismatch"": 14, ""invalid_json"": 1, ""semantic"": 9}"
8,llama31_8b,1,15,74.0418,7,46.6667,"{""arg_type"": 2, ""enum_grounding"": 4, ""gt_mismatch"": 8, ""gt_receiver_coverage"": 8, ""gt_service_coverage"": 8, ""numeric_grounding"": 6, ""semantic"": 8}"
8,llama31_8b,2,15,92.413,13,86.6667,"{""arg_type"": 5, ""gt_mismatch"": 7, ""gt_receiver_coverage"": 2, ""gt_service_coverage"": 2, ""numeric_grounding"": 5}"
8,llama31_8b,3,15,67.0926,0,0.0,"{""arg_type"": 2, ""dataflow"": 5, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 15, ""gt_service_coverage"": 15, ""numeric_grounding"": 1, ""semantic"": 6, ""service_match"": 1, ""unknown_service"": 1}"
8,llama31_8b,4,15,65.6182,1,6.6667,"{""dataflow"": 14, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 12, ""gt_service_coverage"": 9, ""numeric_grounding"": 2, ""semantic"": 12}"
8,llama31_8b,5,15,90.3157,13,86.6667,"{""arg_type"": 1, ""enum_grounding"": 10, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""numeric_grounding"": 4, ""semantic"": 3}"
8,llama31_8b,6,15,60.6325,1,6.6667,"{""dataflow"": 11, ""enum_grounding"": 1, ""extraneous"": 2, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 14, ""gt_service_coverage"": 14, ""numeric_grounding"": 10, ""semantic"": 11}"
8,llama31_8b,7,15,92.971,14,93.3333,"{""dataflow"": 1, ""enum_grounding"": 5, ""gt_mismatch"": 11, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""numeric_grounding"": 5, ""semantic"": 2}"
8,llama31_8b,8,15,89.484,14,93.3333,"{""enum_grounding"": 5, ""extraneous"": 3, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""semantic"": 10}"
9,llama31_8b,1,15,76.991,8,53.3333,"{""enum_grounding"": 2, ""gt_mismatch"": 11, ""gt_receiver_coverage"": 7, ""gt_service_coverage"": 7, ""numeric_grounding"": 7, ""semantic"": 9}"
9,llama31_8b,2,15,92.2311,13,86.6667,"{""arg_type"": 5, ""gt_mismatch"": 8, ""gt_receiver_coverage"": 2, ""gt_service_coverage"": 2, ""numeric_grounding"": 5}"
9,llama31_8b,3,15,74.1842,3,20.0,"{""arg_type"": 1, ""dataflow"": 4, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 11, ""gt_service_coverage"": 11, ""semantic"": 5, ""service_match"": 1, ""unknown_service"": 1}"
9,llama31_8b,4,15,76.7483,5,33.3333,"{""arg_type"": 2, ""dataflow"": 10, ""gt_mismatch"": 13, ""gt_receiver_coverage"": 9, ""gt_service_coverage"": 6, ""semantic"": 5, ""service_match"": 2, ""unknown_service"": 2}"
9,llama31_8b,5,15,93.3016,14,93.3333,"{""enum_grounding"": 10, ""gt_mismatch"": 15, ""numeric_grounding"": 6, ""semantic"": 2}"
9,llama31_8b,6,15,67.3642,2,13.3333,"{""dataflow"": 7, ""extraneous"": 3, ""gt_mismatch"": 14, ""gt_receiver_coverage"": 13, ""gt_service_coverage"": 13, ""numeric_grounding"": 10, ""semantic"": 9, ""service_match"": 1, ""unknown_service"": 1}"
9,llama31_8b,7,15,89.9829,14,93.3333,"{""arg_type"": 1, ""enum_grounding"": 5, ""extraneous"": 2, ""gt_mismatch"": 13, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""no_parseable_member_access"": 1, ""numeric_grounding"": 5, ""precondition"": 1, ""semantic"": 3, ""service_match"": 1}"
9,llama31_8b,8,15,77.9627,11,73.3333,"{""enum_grounding"": 4, ""extraneous"": 6, ""gt_mismatch"": 14, ""gt_receiver_coverage"": 3, ""gt_service_coverage"": 3, ""invalid_json"": 1, ""semantic"": 10}"
10,llama31_8b,1,15,74.0124,7,46.6667,"{""enum_grounding"": 3, ""gt_mismatch"": 11, ""gt_receiver_coverage"": 8, ""gt_service_coverage"": 8, ""numeric_grounding"": 7, ""semantic"": 9}"
10,llama31_8b,2,15,94.9002,14,93.3333,"{""arg_type"": 5, ""gt_mismatch"": 7, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""numeric_grounding"": 5}"
10,llama31_8b,3,15,75.9281,4,26.6667,"{""arg_type"": 1, ""dataflow"": 4, ""gt_mismatch"": 14, ""gt_receiver_coverage"": 11, ""gt_service_coverage"": 11, ""semantic"": 5, ""service_match"": 1, ""unknown_service"": 1}"
10,llama31_8b,4,15,75.4563,4,26.6667,"{""arg_type"": 1, ""dataflow"": 11, ""gt_mismatch"": 13, ""gt_receiver_coverage"": 9, ""gt_service_coverage"": 5, ""semantic"": 7, ""service_match"": 1, ""unknown_service"": 1}"
10,llama31_8b,5,15,95.1411,15,100.0,"{""enum_grounding"": 10, ""gt_mismatch"": 15, ""numeric_grounding"": 3}"
10,llama31_8b,6,15,71.9536,4,26.6667,"{""dataflow"": 6, ""extraneous"": 4, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 11, ""gt_service_coverage"": 11, ""numeric_grounding"": 9, ""semantic"": 7}"
10,llama31_8b,7,15,90.3873,14,93.3333,"{""arg_type"": 1, ""enum_grounding"": 5, ""extraneous"": 2, ""gt_mismatch"": 12, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""no_parseable_member_access"": 1, ""numeric_grounding"": 5, ""precondition"": 1, ""semantic"": 2, ""service_match"": 1}"
10,llama31_8b,8,15,83.3326,13,86.6667,"{""enum_grounding"": 4, ""extraneous"": 5, ""gt_mismatch"": 14, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""invalid_json"": 1, ""semantic"": 9}"
